l,C,γ,beta,dens,ref,strength,distance,hit_count,weight,ess,total_sims,round,weight_old
2.576560916889324,5.659582938994178,0.8998612155455776,1.2138499040016504,0.0379607421131057,0.2337820820241331,0.05513525794645485,1.1763625554579429,3,0.0001323218805728077,0.4628346833467893,566770,6,0.00045160888862402337
2.6911858685508876,6.071665852307499,0.944783206300551,0.7484040691836639,0.04617457981527416,0.3425609160313824,0.14939253123861063,1.034256348575677,5,0.00015770277965012993,0.4628346833467893,566770,6,0.0004599969492792791
2.646094668604404,36.22724053526261,0.9542828988152762,0.1723689946265866,0.17218768993661546,0.39190376797698107,0.01518000182403867,1.0883117509862947,4,7.704807568907388e-5,0.4628346833467893,566770,6,0.0002380082793996045
1.6950945975424598,33.86622894798165,0.6248456956252798,0.3280963959714854,0.14356459961935195,0.18227413066654313,0.02625717952872067,1.0146423094179327,4,0.0001831932127587733,0.4628346833467893,566770,6,0.000523719141694992
2.555000007577869,5.314445260020514,0.9023030254452914,0.3511205560478652,0.04367225250692605,0.6528444408961085,0.024304280515145046,0.875825930344295,4,0.0008265899366795508,0.4628346833467893,566770,6,0.002072495877685699
1.9499713866737989,9.795142577686947,0.8911046897211284,2.733218308838301,0.05072620673141599,0.3111324360503355,0.054751890662546515,1.0414620119579994,4,0.00011732283260903105,0.4628346833467893,566770,6,0.0003447831226853098
1.447064970350789,48.37440053716459,0.8919022612027777,2.645656049459968,0.08189609459553511,0.3829581317469796,0.43294991882414335,1.0817753250942854,3,4.280359196381444e-5,0.4628346833467893,566770,6,0.00013128960267392995
2.100532440556829,32.11116630188333,0.9168541396368077,0.5150594297576293,0.04688612471269884,0.21245177948652916,0.10651983497380509,1.0439672765711165,5,0.0001027415629198066,0.4628346833467893,566770,6,0.0003027220975196472
1.8107475943418003,28.017939831940733,0.8765365490182541,0.834204196460842,0.0485248873797085,0.34751780645847447,0.07451122320883617,0.9670415905009256,5,0.00010899487120612882,0.4628346833467893,566770,6,0.0002972430597237355
2.8130578301205023,3.2684150041740807,0.714662848799752,0.08507786188848532,0.10147186063584099,0.4543113965766434,0.045316778625632104,1.1738428666440004,3,0.00040582498599809567,0.4628346833467893,566770,6,0.0013809682680813052
2.1017583244828257,14.536886066358125,0.8948577624308416,2.0314708670292174,0.07124914228417834,0.4014464036773728,0.15361895403723272,1.1596703346738069,4,5.322834579693346e-5,0.4628346833467893,566770,6,0.00017815845535365933
2.6250191077539795,6.123964322204859,0.6956265130143958,0.27062519565471205,0.09788314184321588,0.4265785985974997,0.10958785865358844,1.1500561226901451,3,0.00022089399391603783,0.4628346833467893,566770,6,0.000731181781357738
2.2617753878358178,33.63213162544046,0.815460355574693,0.10233697056264013,0.09024126859682167,0.4353223990882652,0.046247994207509996,1.071848486642916,4,9.138136939934278e-5,0.4628346833467893,566770,6,0.0002773099548323298
1.8813176357827175,10.558726481629257,0.9718120176800867,2.0399668106492665,0.07487048744517699,0.39591187400187833,0.4046237400305178,1.1548821663873685,4,0.00017348801711278993,0.4628346833467893,566770,6,0.0005774660083483775
2.49493594733591,16.789130544550588,0.9688398944359208,0.4209610549774358,0.1417201245886982,0.4290296850116019,0.3797576508669488,1.0591753906534522,4,0.00011556946438169266,0.4628346833467893,566770,6,0.00034600826659038467
2.6710126339577167,15.87879306056694,0.7703094052427002,0.2539386833780939,0.15594393927141412,0.42689126098768393,0.036210771197764335,1.1839895719078104,3,9.71849333135659e-5,0.4628346833467893,566770,6,0.00033468707331126886
2.4667763520148136,29.03488642581297,0.9820153202982704,0.21248155358982662,0.09628246207687668,0.30158896602550933,0.21502015256166804,0.9826754401349768,4,8.642303357315678e-5,0.4628346833467893,566770,6,0.00023930631476569984
2.441994862427154,29.08906334602103,0.863442121651181,0.10900332385565437,0.1299533847660661,0.46038068447963115,0.3180080391324529,1.0989721206342844,3,8.338246837753228e-5,0.4628346833467893,566770,6,0.00026059632880073705
2.043215482001651,38.48304809515416,0.8403741430017783,0.5348251795162744,0.12118301335027079,0.343246899014372,0.03897698057872573,1.0309244288317647,5,6.125494287179234e-5,0.4628346833467893,566770,6,0.00017805843363506317
2.7912537061147633,4.5988919418261816,0.7480608597268998,0.4381659731366739,0.11573905990948516,0.40974147975573333,0.2595292222038987,1.0949537122054744,4,0.00019908070719076092,0.4628346833467893,566770,6,0.0006194529577721111
