l,C,γ,beta,dens,ref,strength,distance,hit_count,weight,ess,total_sims,round
3.9823976498371185,15.197094334919267,0.9029875734693379,0.6670853317782536,0.2735794351414026,0.5481702689167112,0.6000237528411463,2.478962763872379,1,0.0005,1.0000000000000018,3563,1
0.08979954557249746,7.063691621346986,0.3763905175044569,1.8619135620246452,0.17650256585579435,0.2398334553627092,0.9743124075862244,2.820010949290849,1,0.0005,1.0000000000000018,3563,1
0.6542790698750687,0.13056131549541927,0.7437263188561659,1.0754898278741423,0.7144331336085146,0.9723252384994678,0.7344832536989061,2.6645663742849695,1,0.0005,1.0000000000000018,3563,1
4.376328318446274,22.834412616082187,0.9131022210474812,0.6968983587391105,0.19509815903369537,0.7710164879698714,0.6611776032930022,2.800922798865078,1,0.0005,1.0000000000000018,3563,1
0.895683261541054,17.389493213227762,0.3165340893884541,2.239639334294298,0.6674438275153413,0.6997114049522192,0.08561467507056432,2.2264662946131573,1,0.0005,1.0000000000000018,3563,1
1.9603801766205362,0.7358836042967526,0.35559200906140237,2.183530529681069,0.5691762696277219,0.8487347154226094,0.5165688644712993,2.1226216637291904,1,0.0005,1.0000000000000018,3563,1
1.3968824430589566,0.3435437602034364,0.27279024846464595,1.1210194199003138,0.4644180354534917,0.40001403963596954,0.414686578241976,2.339762175984843,1,0.0005,1.0000000000000018,3563,1
0.02660356891261111,7.543342708661408,0.9507506093962076,0.7111648177762864,0.8113580856787188,0.06048059003666756,0.4463733301008077,2.6332515708952084,1,0.0005,1.0000000000000018,3563,1
1.5287344291320493,5.593344328698617,0.9983168745072156,1.7430384508726486,0.7711782365873229,0.04533846487783596,0.37940489258241333,1.878277357577813,1,0.0005,1.0000000000000018,3563,1
0.20948720498677809,6.638054959490757,0.24427477218172974,0.596380293509451,0.6914646030771553,0.0259108609678458,0.5066670620532181,2.3378444612070237,1,0.0005,1.0000000000000018,3563,1
0.1665322893747248,2.509034896050815,0.9634370768731038,1.471584978470336,0.3380172616852322,0.4470121970057306,0.5822260831513615,2.501619949835302,1,0.0005,1.0000000000000018,3563,1
0.20325407611718285,10.275624720790839,0.6994372345079642,1.6930736165700353,0.6228163688310511,0.09725030606912927,0.13741340082789524,2.363126680643031,1,0.0005,1.0000000000000018,3563,1
0.1712256194105693,6.820482980154797,0.13129910719527454,1.1407169071242715,0.6861352749914903,0.28833855813419246,0.14966842918977707,2.3366294522228297,1,0.0005,1.0000000000000018,3563,1
1.0215193189924967,16.981238944168606,0.23885281458838095,0.1726195833598387,0.8871036487847418,0.9925524168794451,0.842566577315974,2.8251151720623584,1,0.0005,1.0000000000000018,3563,1
1.2837727136523787,1.2544045852398569,0.08419382961575361,0.8084438675783179,0.6435697890713071,0.34678326261689113,0.3067039564864627,2.0135304743565636,1,0.0005,1.0000000000000018,3563,1
2.5713017298594156,21.419853537249516,0.9466000437842162,0.8049528133332764,0.5514809558642779,0.7759652416301768,0.6949329818633626,2.182947217797478,1,0.0005,1.0000000000000018,3563,1
0.3696084202654662,31.05885890498871,0.5994298958788107,1.4784287455497966,0.6087378785757849,0.5390330003559906,0.6457657643471809,2.2981038267076497,1,0.0005,1.0000000000000018,3563,1
2.3185317253223348,36.19064052869305,0.9899193195902007,1.3668036402156887,0.6548035656772367,0.6794375855369226,0.366245389130665,2.0669849532097944,1,0.0005,1.0000000000000018,3563,1
