l,C,γ,beta,dens,ref,strength,distance,hit_count,weight,ess,total_sims,round
0.40227499066976163,5.354682553009671,0.4885444312525254,0.6420169011779058,0.6934531361930252,0.775414690879615,0.029985065455343393,2.8564421809731075,5,0.0005,1.0000000000000018,21525,1
1.016028839769654,7.059298334493921,0.27062536687137423,1.844563835633513,0.8855944758327942,0.3878172068151555,0.03303203906339944,2.135796483772549,5,0.0005,1.0000000000000018,21525,1
1.420952040362158,8.05369941438132,0.8714527797376843,1.6416951020352029,0.5505734416806312,0.27547401751337747,0.4785688354602722,1.731916443298275,5,0.0005,1.0000000000000018,21525,1
1.1857671572337287,3.6365545602081077,0.5189238596870799,1.2122877570804584,0.4827366283641512,0.8383210038131453,0.698050423933775,2.4707349349160115,5,0.0005,1.0000000000000018,21525,1
0.2276854457009498,12.9958153566636,0.0295828736125498,3.569526156317977,0.36633597841033455,0.25427401034963243,0.304041901741175,1.7154293471377133,5,0.0005,1.0000000000000018,21525,1
1.673373330375328,2.3542591944614593,0.23126731002263504,0.36204403593151696,0.7536885439857741,0.5564343934232118,0.7823510061295703,2.2916583371624117,5,0.0005,1.0000000000000018,21525,1
0.5030780683434535,1.2100614033149744,0.17590181271860683,1.3750191868860613,0.36166401885542787,0.1365761903808659,0.4253148366349179,2.8944625446005445,4,0.0005,1.0000000000000018,21525,1
0.6958059784705327,11.12952772067168,0.21562641198350838,2.685768331167141,0.8667583848726444,0.8285104273496214,0.10916337157158579,2.437609942101275,5,0.0005,1.0000000000000018,21525,1
0.173310429409071,23.33585453170293,0.44841928301118594,2.6333230387058197,0.6587602222928953,0.9893699822353546,0.46835728168264695,2.00681653455054,5,0.0005,1.0000000000000018,21525,1
0.504668184076728,1.9837626716072123,0.9705197888738747,0.7445620449900567,0.7877073591340329,0.314080768441799,0.1894093311903481,2.8404027448215174,5,0.0005,1.0000000000000018,21525,1
0.14186520195343685,4.6699178426957095,0.26859573255547137,2.3974778110110413,0.5972445866682409,0.7672209666830782,0.8881506547945627,2.384499003297161,5,0.0005,1.0000000000000018,21525,1
