l,C,γ,beta,dens,ref,strength,distance,hit_count,weight,ess,total_sims,round
2.1438862515700636,12.04682317253576,0.6576679573978664,0.33151009753322397,0.9765183672450498,0.7579590661185087,0.10601623464365047,1.9981187249314012,1,0.0005,1.0000000000000018,3449,1
0.6926503520565291,9.49656247405128,0.8604299647245478,1.627783053065235,0.7315235908902732,0.04472106350933161,0.12842426822672237,1.9341882806427557,1,0.0005,1.0000000000000018,3449,1
1.6638422997008582,1.3592853095446116,0.14984751540615734,1.4436115713382407,0.687171015268569,0.8080481173495319,0.05885925271378759,2.245339360305454,1,0.0005,1.0000000000000018,3449,1
1.8541700886417098,0.9260507964996147,0.3306540814550084,1.2240138979378075,0.5477104448422366,0.497673484600048,0.7645883234811327,2.090496518353772,1,0.0005,1.0000000000000018,3449,1
1.5116368506691182,13.033984398196862,0.5982312109015717,0.34753186394702223,0.6747072665206624,0.10411648903716834,0.6247234399240219,2.436771087403094,1,0.0005,1.0000000000000018,3449,1
0.0862897841503797,13.954205247150533,0.3719372665901275,1.3523764777680471,0.8565004945678366,0.9952961428175984,0.09693163577177523,2.00672191372986,1,0.0005,1.0000000000000018,3449,1
0.7660471120596712,0.7445925848090116,0.3067411529677526,4.31065414992864,0.33899462938724134,0.14992054264172044,0.5518530226657214,2.0195676255652883,1,0.0005,1.0000000000000018,3449,1
0.9744393869915459,7.683180744466496,0.9609054044281156,0.3461402320243002,0.7805088529990178,0.5468679264305827,0.8719759075094322,2.684841169288937,1,0.0005,1.0000000000000018,3449,1
0.06380501246388531,18.203133973640487,0.0453145809214624,1.0816368381008128,0.25796143550353484,0.8195511202656899,0.2276133878050819,2.835114148645135,1,0.0005,1.0000000000000018,3449,1
1.7547464936988864,7.980304874835415,0.24353125681641563,0.9137031259850739,0.3442238013610709,0.7489294126415358,0.5525199448777998,2.8512214250029295,1,0.0005,1.0000000000000018,3449,1
4.4829916496604865,16.68009472927193,0.9961848662815169,2.6251093231490135,0.2825858269275472,0.07508665641815399,0.011517150079028017,2.1178003290476113,1,0.0005,1.0000000000000018,3449,1
0.5638641513412554,0.5508873584050946,0.6738436554513602,3.784807374134401,0.5925462105706663,0.7078045323240932,0.9469733474847473,2.3756085744215354,1,0.0005,1.0000000000000018,3449,1
0.5152957044703631,0.5352454831803685,0.31910557709431897,2.1504504251180103,0.9618499209128779,0.3957572530023197,0.939104090981381,1.5816882335635982,1,0.0005,1.0000000000000018,3449,1
0.5621000109342723,9.10616434390131,0.8981356891464172,0.5719245649094449,0.7698919717316353,0.16170333158692493,0.09565457294037613,2.3018740778337645,1,0.0005,1.0000000000000018,3449,1
0.3797323606681359,10.073850336881673,0.9029454447761591,1.1996774106574521,0.7389943390260251,0.4721934452755818,0.9147411435436887,2.3586597539284515,1,0.0005,1.0000000000000018,3449,1
2.0940762077525354,20.26527897987251,0.619976037788863,0.07024981515822327,0.17264927193180868,0.8379967189569244,0.07288244584444674,2.003171101202006,1,0.0005,1.0000000000000018,3449,1
0.7426821442713634,9.121493585613173,0.06341645142831336,1.0078356851383763,0.5041312958886459,0.9403100315634316,0.06980760777741961,2.6682192211296227,1,0.0005,1.0000000000000018,3449,1
0.19857170058231896,3.6992255624922104,0.46122005750664985,0.8471783324403158,0.8470147821677926,0.23608699895467894,0.6967282609736785,2.099043134846313,1,0.0005,1.0000000000000018,3449,1
0.5894825751322513,1.1379395514936945,0.9726630178135016,1.4423030990927677,0.6943198343150027,0.8727135701221784,0.3095850929639067,2.6373879428730804,1,0.0005,1.0000000000000018,3449,1
0.3024523390736346,11.154382565795899,0.06472564633184753,1.3182522717868552,0.2830934736710749,0.2060476782002275,0.6889615572362793,1.901268696630587,1,0.0005,1.0000000000000018,3449,1
