harvest
782950
445110
0
0
9675670
741850
288870
1043250
0
0
0
169630
1081550
858330
0
726570
1276950
402300
832640
318450
697950
0
501310
1865550
56700
176470
698000
0
242690
1789980
3485440
0
0
0
364680
28100
28100
523950
148370
202260
895680
7485180
0
2425760
32180
876380
853100
1378660
4458230
0
1514280
0
2299130
0
1011600
2761740
0
0
2077530
0
3995820
521480
2996530
0
522620
0
0
1814230
328920
76370
0
0
151180
0
1439370
1169210
0
0
148370
148370
180870
148370
0
0
296740
703120
472440
153990
156590
1294740
614740
148370
0
1243450
0
1289760
4108220
535100
0
0
0
1278650
895740
296740
0
0
0
599100
84300
